s,zeta(s)
(0.5+236.52423095703125j),0j
(0.5+237.7698211669922j),0j
(0.5+239.55548095703125j),0j
(0.5+241.04916381835938j),0j
(0.5+242.82327270507812j),0j
(0.5+244.07089233398438j),0j
(0.5+247.13699340820312j),0j
(0.5+248.10198974609375j),0j
(0.5+249.5736846923828j),0j
(0.5+251.01495361328125j),0j
(0.5+253.0699920654297j),0j
(0.5+255.30625915527344j),0j
(0.5+256.3807067871094j),0j
(0.5+258.6104431152344j),0j
(0.5+259.8744201660156j),0j
(0.5+260.8050842285156j),0j
(0.5+263.5738830566406j),0j
(0.5+265.557861328125j),0j
(0.5+266.6149597167969j),0j
(0.5+267.9219055175781j),0j
(0.5+269.970458984375j),0j
(0.5+271.4940490722656j),0j
(0.5+273.4595947265625j),0j
(0.5+275.5874938964844j),0j
(0.5+276.4520568847656j),0j
(0.5+278.250732421875j),0j
(0.5+279.229248046875j),0j
(0.5+282.4651184082031j),0j
(0.5+283.211181640625j),0j
(0.5+284.8359680175781j),0j
(0.5+286.6674499511719j),0j
(0.5+287.91192626953125j),0j
(0.5+289.5798645019531j),0j
(0.5+291.8462829589844j),0j
(0.5+293.5584411621094j),0j
(0.5+294.9653625488281j),0j
(0.5+295.5732421875j),0j
(0.5+297.9792785644531j),0j
(0.5+299.84033203125j),0j
(0.5+301.6493225097656j),0j
(0.5+302.6967468261719j),0j
(0.5+304.8643798828125j),0j
(0.5+305.7289123535156j),0j
(0.5+307.219482421875j),0j
(0.5+310.1094665527344j),0j
(0.5+311.1651306152344j),0j
(0.5+312.42779541015625j),0j
(0.5+313.98529052734375j),0j
(0.5+315.4756164550781j),0j
(0.5+317.73480224609375j),0j
(0.5+318.8531188964844j),0j
(0.5+321.1601257324219j),0j
(0.5+322.1445617675781j),0j
(0.5+323.46697998046875j),0j
(0.5+324.86285400390625j),0j
(0.5+327.44390869140625j),0j
(0.5+329.0330810546875j),0j
(0.5+329.9532470703125j),0j
(0.5+331.4744567871094j),0j
(0.5+333.6453857421875j),0j
(0.5+334.21136474609375j),0j
(0.5+336.84185791015625j),0j
(0.5+338.3399963378906j),0j
(0.5+339.85821533203125j),0j
(0.5+341.0422668457031j),0j
(0.5+342.05487060546875j),0j
(0.5+344.6617126464844j),0j
(0.5+346.3478698730469j),0j
(0.5+347.2726745605469j),0j
(0.5+349.3162536621094j),0j
(0.5+350.4084167480469j),0j
(0.5+351.878662109375j),0j
(0.5+353.4888916015625j),0j
(0.5+356.017578125j),0j
(0.5+357.15130615234375j),0j
(0.5+357.95269775390625j),0j
(0.5+359.7437438964844j),0j
(0.5+361.28936767578125j),0j
(0.5+363.3313293457031j),0j
(0.5+364.73602294921875j),0j
(0.5+366.21270751953125j),0j
(0.5+367.9935607910156j),0j
(0.5+368.96844482421875j),0j
(0.5+370.0509338378906j),0j
(0.5+373.0619201660156j),0j
(0.5+373.8648681640625j),0j
(0.5+375.825927734375j),0j
(0.5+376.3240966796875j),0j
(0.5+378.4366760253906j),0j
(0.5+379.87298583984375j),0j
(0.5+381.4844665527344j),0j
(0.5+383.44354248046875j),0j
(0.5+384.95611572265625j),0j
(0.5+385.8612976074219j),0j
(0.5+387.222900390625j),0j
(0.5+388.84613037109375j),0j
(0.5+391.4560852050781j),0j
(0.5+392.2450866699219j),0j
(0.5+393.427734375j),0j
(0.5+395.5828552246094j),0j
(0.5+396.3818664550781j),0j
(0.5+397.9187316894531j),0j
(0.5+399.985107421875j),0j
(0.5+401.8392333984375j),0j
(0.5+402.8619079589844j),0j
(0.5+404.2364501953125j),0j
(0.5+405.1343994140625j),0j
(0.5+407.5814514160156j),0j
(0.5+408.9472351074219j),0j
(0.5+410.51385498046875j),0j
(0.5+411.9722595214844j),0j
(0.5+413.2627258300781j),0j
(0.5+415.018798828125j),0j
(0.5+415.4552001953125j),0j
(0.5+418.3876953125j),0j
(0.5+419.8613586425781j),0j
(0.5+420.6438293457031j),0j
(0.5+422.07672119140625j),0j
(0.5+423.7165832519531j),0j
(0.5+425.06988525390625j),0j
(0.5+427.2088317871094j),0j
(0.5+428.1278991699219j),0j
(0.5+430.3287353515625j),0j
(0.5+431.3013000488281j),0j
(0.5+432.1386413574219j),0j
(0.5+433.88922119140625j),0j
(0.5+436.1610107421875j),0j
(0.5+437.5816955566406j),0j
(0.5+438.6217346191406j),0j
(0.5+439.91845703125j),0j
(0.5+441.6831970214844j),0j
(0.5+442.904541015625j),0j
(0.5+444.3193359375j),0j
(0.5+446.8606262207031j),0j
(0.5+447.44171142578125j),0j
(0.5+449.1485595703125j),0j
(0.5+450.126953125j),0j
(0.5+451.4033203125j),0j
(0.5+453.9867248535156j),0j
(0.5+454.97467041015625j),0j
(0.5+456.32843017578125j),0j
(0.5+457.9039001464844j),0j
(0.5+459.513427734375j),0j
(0.5+460.08795166015625j),0j
(0.5+462.06536865234375j),0j
(0.5+464.0572814941406j),0j
(0.5+465.6715393066406j),0j
(0.5+466.5702819824219j),0j
(0.5+467.4390563964844j),0j
(0.5+469.5360107421875j),0j
(0.5+470.7736511230469j),0j
(0.5+472.7991638183594j),0j
(0.5+473.8352355957031j),0j
(0.5+475.600341796875j),0j
(0.5+476.7690124511719j),0j
(0.5+478.07525634765625j),0j
(0.5+478.9421691894531j),0j
(0.5+481.8303527832031j),0j
(0.5+482.83477783203125j),0j
(0.5+483.8514404296875j),0j
(0.5+485.5391540527344j),0j
(0.5+486.5287170410156j),0j
(0.5+488.38055419921875j),0j
(0.5+489.6617736816406j),0j
(0.5+491.3988342285156j),0j
(0.5+493.314453125j),0j
(0.5+493.9580078125j),0j
(0.5+495.35882568359375j),0j
(0.5+496.4296875j),0j
(0.5+498.5807800292969j),0j
(0.5+500.30908203125j),0j
(0.5+501.6044616699219j),0j
(0.5+502.2762756347656j),0j
(0.5+504.4997863769531j),0j
(0.5+505.41522216796875j),0j
(0.5+506.4641418457031j),0j
(0.5+508.8006896972656j),0j
(0.5+510.26422119140625j),0j
(0.5+511.5622863769531j),0j
(0.5+512.6231689453125j),0j
(0.5+513.6690063476562j),0j
(0.5+515.43505859375j),0j
(0.5+517.5896606445312j),0j
(0.5+518.2342529296875j),0j
(0.5+520.1063232421875j),0j
(0.5+521.5252075195312j),0j
(0.5+522.4567260742188j),0j
(0.5+523.9605102539062j),0j
(0.5+525.077392578125j),0j
(0.5+527.9036254882812j),0j
(0.5+528.4061889648438j),0j
(0.5+529.8062133789062j),0j
(0.5+530.866943359375j),0j
(0.5+532.6881713867188j),0j
(0.5+533.7796020507812j),0j
(0.5+535.664306640625j),0j
(0.5+537.0697631835938j),0j
(0.5+538.4285278320312j),0j
(0.5+540.2131958007812j),0j
(0.5+540.6314086914062j),0j
(0.5+541.847412109375j),0j
(0.5+544.3239135742188j),0j
(0.5+545.6368408203125j),0j
(0.5+547.0109252929688j),0j
(0.5+547.931640625j),0j
(0.5+549.49755859375j),0j
(0.5+550.9700317382812j),0j
(0.5+552.049560546875j),0j
(0.5+553.7649536132812j),0j
(0.5+555.7919921875j),0j
(0.5+556.8994750976562j),0j
(0.5+557.5646362304688j),0j
(0.5+559.3162231445312j),0j
(0.5+560.2407836914062j),0j
(0.5+562.5592041015625j),0j
(0.5+564.160888671875j),0j
(0.5+564.5060424804688j),0j
(0.5+566.6987915039062j),0j
(0.5+567.7317504882812j),0j
(0.5+568.9239501953125j),0j
(0.5+570.0510864257812j),0j
(0.5+572.4199829101562j),0j
(0.5+573.6146240234375j),0j
(0.5+575.0938720703125j),0j
(0.5+575.8072509765625j),0j
(0.5+577.0390014648438j),0j
(0.5+579.0988159179688j),0j
(0.5+580.136962890625j),0j
(0.5+581.9465942382812j),0j
(0.5+583.236083984375j),0j
(0.5+584.5617065429688j),0j
(0.5+585.9845581054688j),0j
(0.5+586.7427978515625j),0j
(0.5+588.1396484375j),0j
(0.5+590.660400390625j),0j
(0.5+591.725830078125j),0j
(0.5+592.5713500976562j),0j
(0.5+593.9747314453125j),0j
(0.5+595.7281494140625j),0j
(0.5+596.36279296875j),0j
(0.5+598.4931030273438j),0j
(0.5+599.545654296875j),0j
(0.5+601.6021118164062j),0j
(0.5+602.5791625976562j),0j
(0.5+603.6256103515625j),0j
(0.5+604.6162109375j),0j
(0.5+606.3834838867188j),0j
(0.5+608.4132080078125j),0j
(0.5+609.3895874023438j),0j
(0.5+610.8391723632812j),0j
(0.5+611.7742309570312j),0j
(0.5+613.5997924804688j),0j
(0.5+614.646240234375j),0j
(0.5+615.53857421875j),0j
(0.5+618.1128540039062j),0j
(0.5+619.1845092773438j),0j
(0.5+620.2728881835938j),0j
(0.5+621.7092895507812j),0j
(0.5+622.375j),0j
(0.5+624.2698974609375j),0j
(0.5+626.019287109375j),0j
(0.5+627.2683715820312j),0j
(0.5+628.3258666992188j),0j
(0.5+630.473876953125j),0j
(0.5+630.8057861328125j),0j
(0.5+632.2251586914062j),0j
(0.5+633.546875j),0j
(0.5+635.5238037109375j),0j
(0.5+637.397216796875j),0j
(0.5+637.925537109375j),0j
(0.5+638.9279174804688j),0j
(0.5+640.69482421875j),0j
(0.5+641.9454956054688j),0j
(0.5+643.2788696289062j),0j
(0.5+644.9906005859375j),0j
(0.5+646.3482055664062j),0j
(0.5+647.7617797851562j),0j
(0.5+648.786376953125j),0j
(0.5+650.197509765625j),0j
(0.5+650.668701171875j),0j
(0.5+653.6495971679688j),0j
(0.5+654.3019409179688j),0j
(0.5+655.70947265625j),0j
(0.5+656.964111328125j),0j
(0.5+658.1755981445312j),0j
(0.5+659.663818359375j),0j
(0.5+660.7167358398438j),0j
(0.5+662.2965698242188j),0j
(0.5+664.24462890625j),0j
(0.5+665.3427734375j),0j
(0.5+666.51513671875j),0j
(0.5+667.1484985351562j),0j
(0.5+668.975830078125j),0j
(0.5+670.3236083984375j),0j
(0.5+672.4581909179688j),0j
(0.5+673.0435791015625j),0j
(0.5+674.3558959960938j),0j
(0.5+676.1396484375j),0j
(0.5+677.2301635742188j),0j
(0.5+677.8004150390625j),0j
(0.5+679.7421875j),0j
(0.5+681.89501953125j),0j
(0.5+682.6027221679688j),0j
(0.5+684.0135498046875j),0j
(0.5+684.97265625j),0j
(0.5+686.1632080078125j),0j
(0.5+687.9615478515625j),0j
(0.5+689.3689575195312j),0j
(0.5+690.4747314453125j),0j
(0.5+692.45166015625j),0j
(0.5+693.1769409179688j),0j
(0.5+694.533935546875j),0j
(0.5+695.726318359375j),0j
(0.5+696.6260986328125j),0j
(0.5+699.132080078125j),0j
(0.5+700.2967529296875j),0j
(0.5+701.3017578125j),0j
(0.5+702.2273559570312j),0j
(0.5+704.0338134765625j),0j
(0.5+705.1257934570312j),0j
(0.5+706.1846313476562j),0j
(0.5+708.26904296875j),0j
(0.5+709.2296142578125j),0j
(0.5+711.1302490234375j),0j
(0.5+711.9002685546875j),0j
(0.5+712.7493896484375j),0j
(0.5+714.082763671875j),0j
(0.5+716.1124267578125j),0j
(0.5+717.4825439453125j),0j
(0.5+718.7427978515625j),0j
(0.5+719.6970825195312j),0j
(0.5+721.3511352539062j),0j
(0.5+722.2775268554688j),0j
(0.5+723.8458251953125j),0j
(0.5+724.5626220703125j),0j
(0.5+727.056396484375j),0j
(0.5+728.4054565429688j),0j
(0.5+728.7587280273438j),0j
(0.5+730.41650390625j),0j
(0.5+731.4173583984375j),0j
(0.5+732.8180541992188j),0j
(0.5+734.7896728515625j),0j
(0.5+735.7654418945312j),0j
(0.5+737.0529174804688j),0j
(0.5+738.5804443359375j),0j
(0.5+739.9095458984375j),0j
(0.5+740.5737915039062j),0j
(0.5+741.75732421875j),0j
(0.5+743.89501953125j),0j
(0.5+745.344970703125j),0j
(0.5+746.4993286132812j),0j
(0.5+747.674560546875j),0j
(0.5+748.2427368164062j),0j
(0.5+750.6559448242188j),0j
(0.5+750.9663696289062j),0j
(0.5+752.8876342773438j),0j
(0.5+754.3223876953125j),0j
(0.5+755.8392944335938j),0j
(0.5+756.7682495117188j),0j
(0.5+758.1017456054688j),0j
(0.5+758.9002685546875j),0j
(0.5+760.2823486328125j),0j
(0.5+762.7000122070312j),0j
(0.5+763.5930786132812j),0j
(0.5+764.3074951171875j),0j
(0.5+766.0875244140625j),0j
(0.5+767.2184448242188j),0j
(0.5+768.2814331054688j),0j
(0.5+769.6934204101562j),0j
(0.5+771.0708618164062j),0j
(0.5+772.9616088867188j),0j
(0.5+774.1177368164062j),0j
(0.5+775.0478515625j),0j
(0.5+775.9996948242188j),0j
(0.5+777.2997436523438j),0j
(0.5+779.1571044921875j),0j
(0.5+780.3489379882812j),0j
(0.5+782.1376342773438j),0j
(0.5+782.5979614257812j),0j
(0.5+784.288818359375j),0j
(0.5+785.7390747070312j),0j
(0.5+786.4611206054688j),0j
(0.5+787.4684448242188j),0j
(0.5+790.05908203125j),0j
(0.5+790.8316040039062j),0j
(0.5+792.427734375j),0j
(0.5+792.888671875j),0j
(0.5+794.4837646484375j),0j
(0.5+795.6065673828125j),0j
(0.5+797.2634887695312j),0j
(0.5+798.7075805664062j),0j
(0.5+799.6543579101562j),0j
(0.5+801.604248046875j),0j
(0.5+802.5419921875j),0j
(0.5+803.2431030273438j),0j
(0.5+804.7622680664062j),0j
(0.5+805.8616333007812j),0j
(0.5+808.1517944335938j),0j
(0.5+809.19775390625j),0j
(0.5+810.081787109375j),0j
(0.5+811.1843872070312j),0j
(0.5+812.7711181640625j),0j
(0.5+814.0458984375j),0j
(0.5+814.8705444335938j),0j
(0.5+816.7277221679688j),0j
(0.5+818.3806762695312j),0j
(0.5+819.2046508789062j),0j
(0.5+820.721923828125j),0j
(0.5+821.7134399414062j),0j
(0.5+822.19775390625j),0j
(0.5+824.5263061523438j),0j
(0.5+826.039306640625j),0j
(0.5+826.9058227539062j),0j
(0.5+828.3401489257812j),0j
(0.5+829.43701171875j),0j
(0.5+830.8958740234375j),0j
(0.5+831.7998046875j),0j
(0.5+833.003662109375j),0j
(0.5+834.6519165039062j),0j
(0.5+836.693603515625j),0j
(0.5+837.3473510742188j),0j
(0.5+838.2490234375j),0j
(0.5+839.4653930664062j),0j
(0.5+841.036376953125j),0j
(0.5+842.0413818359375j),0j
(0.5+844.1661987304688j),0j
(0.5+844.8059692382812j),0j
(0.5+846.1947631835938j),0j
(0.5+847.9717407226562j),0j
(0.5+848.4892578125j),0j
(0.5+849.8623046875j),0j
(0.5+850.6454467773438j),0j
(0.5+853.1630859375j),0j
(0.5+854.0955200195312j),0j
(0.5+855.2866821289062j),0j
(0.5+856.484130859375j),0j
(0.5+857.3107299804688j),0j
(0.5+858.904052734375j),0j
(0.5+860.41064453125j),0j
(0.5+861.1710815429688j),0j
(0.5+863.189697265625j),0j
(0.5+864.3408203125j),0j
(0.5+865.5946655273438j),0j
(0.5+866.4237670898438j),0j
(0.5+867.693115234375j),0j
(0.5+868.6704711914062j),0j
(0.5+870.846923828125j),0j
(0.5+872.188720703125j),0j
(0.5+873.0989990234375j),0j
(0.5+873.9083862304688j),0j
(0.5+875.9852905273438j),0j
(0.5+876.600830078125j),0j
(0.5+877.6547241210938j),0j
(0.5+879.3809814453125j),0j
(0.5+880.8346557617188j),0j
(0.5+882.38671875j),0j
(0.5+883.4303588867188j),0j
(0.5+884.19873046875j),0j
(0.5+885.2722778320312j),0j
(0.5+886.852783203125j),0j
(0.5+888.4755859375j),0j
(0.5+889.7352905273438j),0j
(0.5+890.8131103515625j),0j
(0.5+892.3864135742188j),0j
(0.5+893.119140625j),0j
(0.5+894.8862915039062j),0j
(0.5+895.39794921875j),0j
(0.5+896.6322631835938j),0j
(0.5+899.2214965820312j),0j
(0.5+899.85888671875j),0j
(0.5+900.8497314453125j),0j
(0.5+902.2432250976562j),0j
(0.5+903.0996704101562j),0j
(0.5+904.702880859375j),0j
(0.5+905.8299560546875j),0j
(0.5+907.65673828125j),0j
(0.5+908.3335571289062j),0j
(0.5+910.1863403320312j),0j
(0.5+911.2349243164062j),0j
(0.5+912.3310546875j),0j
(0.5+912.823974609375j),0j
(0.5+914.7301025390625j),0j
(0.5+916.35498046875j),0j
(0.5+917.8253784179688j),0j
(0.5+918.8365478515625j),0j
(0.5+919.4483642578125j),0j
(0.5+921.1563720703125j),0j
(0.5+922.5006103515625j),0j
(0.5+923.2857055664062j),0j
(0.5+924.7734985351562j),0j
(0.5+926.5515747070312j),0j
(0.5+927.850830078125j),0j
(0.5+928.6636352539062j),0j
(0.5+929.8740844726562j),0j
(0.5+931.0092163085938j),0j
(0.5+931.8527221679688j),0j
(0.5+934.3853149414062j),0j
(0.5+934.9954223632812j),0j
(0.5+936.2286376953125j),0j
(0.5+937.5328979492188j),0j
(0.5+939.0242919921875j),0j
(0.5+939.6609497070312j),0j
(0.5+941.156982421875j),0j
(0.5+942.0523681640625j),0j
(0.5+944.1880493164062j),0j
(0.5+945.3335571289062j),0j
(0.5+946.765869140625j),0j
(0.5+947.0791625976562j),0j
(0.5+948.3466186523438j),0j
(0.5+950.151611328125j),0j
(0.5+951.0332641601562j),0j
(0.5+952.7279663085938j),0j
(0.5+954.1296997070312j),0j
(0.5+954.8292846679688j),0j
(0.5+956.6754760742188j),0j
(0.5+957.5100708007812j),0j
(0.5+958.4146118164062j),0j
(0.5+959.4591674804688j),0j
(0.5+961.6695556640625j),0j
(0.5+963.1820678710938j),0j
(0.5+963.5670166015625j),0j
(0.5+965.0556030273438j),0j
(0.5+966.1107788085938j),0j
(0.5+967.3711547851562j),0j
(0.5+968.6362915039062j),0j
(0.5+970.1256103515625j),0j
(0.5+971.0714721679688j),0j
(0.5+973.1853637695312j),0j
(0.5+973.8731079101562j),0j
(0.5+974.774658203125j),0j
(0.5+976.1785278320312j),0j
(0.5+976.9171752929688j),0j
(0.5+978.7666625976562j),0j
(0.5+980.5780029296875j),0j
(0.5+981.2886352539062j),0j
(0.5+982.396484375j),0j
(0.5+983.5750732421875j),0j
(0.5+985.1869506835938j),0j
(0.5+986.1304931640625j),0j
(0.5+986.7559814453125j),0j
(0.5+988.9926147460938j),0j
(0.5+990.2239379882812j),0j
(0.5+991.374267578125j),0j
(0.5+992.7286987304688j),0j
(0.5+993.214599609375j),0j
(0.5+994.4046020507812j),0j
(0.5+996.205322265625j),0j
(0.5+997.511962890625j),0j
(0.5+998.8275756835938j),0j
(0.5+999.7915649414062j),0j
(0.5+1001.3494873046875j),0j
(0.5+1002.404296875j),0j
(0.5+1003.267822265625j),0j
(0.5+1004.675048828125j),0j
(0.5+1005.5433959960938j),0j
(0.5+1008.0067138671875j),0j
(0.5+1008.7957153320312j),0j
(0.5+1009.8065795898438j),0j
(0.5+1010.5697631835938j),0j
(0.5+1012.4100341796875j),0j
(0.5+1013.0586547851562j),0j
(0.5+1014.6896362304688j),0j
(0.5+1016.0601806640625j),0j
(0.5+1017.2664184570312j),0j
(0.5+1018.6055908203125j),0j
(0.5+1019.9124145507812j),0j
(0.5+1020.91748046875j),0j
(0.5+1021.5443725585938j),0j
(0.5+1022.88525390625j),0j
(0.5+1025.2657470703125j),0j
(0.5+1025.7078857421875j),0j
(0.5+1027.4676513671875j),0j
(0.5+1028.12890625j),0j
(0.5+1029.227294921875j),0j
(0.5+1030.8973388671875j),0j
(0.5+1031.8331298828125j),0j
(0.5+1032.8128662109375j),0j
(0.5+1034.6129150390625j),0j
(0.5+1036.1959228515625j),0j
(0.5+1037.024658203125j),0j
(0.5+1038.0877685546875j),0j
(0.5+1039.077392578125j),0j
(0.5+1040.2640380859375j),0j
(0.5+1041.62158203125j),0j
(0.5+1043.6239013671875j),0j
(0.5+1044.5150146484375j),0j
(0.5+1045.1070556640625j),0j
(0.5+1047.08984375j),0j
(0.5+1047.9871826171875j),0j
(0.5+1048.9537353515625j),0j
(0.5+1049.996337890625j),0j
(0.5+1051.5765380859375j),0j
(0.5+1053.2457275390625j),0j
(0.5+1054.781005859375j),0j
(0.5+1055.002197265625j),0j
(0.5+1056.6888427734375j),0j
(0.5+1057.10009765625j),0j
(0.5+1059.1337890625j),0j
(0.5+1060.1395263671875j),0j
(0.5+1061.5013427734375j),0j
(0.5+1062.9154052734375j),0j
(0.5+1064.071533203125j),0j
(0.5+1065.121826171875j),0j
(0.5+1066.4632568359375j),0j
(0.5+1067.4188232421875j),0j
(0.5+1067.989990234375j),0j
(0.5+1070.5350341796875j),0j
(0.5+1071.61865234375j),0j
(0.5+1072.5439453125j),0j
(0.5+1073.5703125j),0j
(0.5+1074.747802734375j),0j
(0.5+1076.2666015625j),0j
(0.5+1076.924072265625j),0j
(0.5+1078.647216796875j),0j
(0.5+1079.8099365234375j),0j
(0.5+1081.1710205078125j),0j
(0.5+1082.9527587890625j),0j
(0.5+1083.29541015625j),0j
(0.5+1084.1832275390625j),0j
(0.5+1085.6478271484375j),0j
(0.5+1086.9119873046875j),0j
(0.5+1088.7557373046875j),0j
(0.5+1089.7952880859375j),0j
(0.5+1090.8631591796875j),0j
(0.5+1091.728515625j),0j
(0.5+1093.44091796875j),0j
(0.5+1094.284423828125j),0j
(0.5+1095.43310546875j),0j
(0.5+1096.4019775390625j),0j
(0.5+1098.841064453125j),0j
(0.5+1099.3607177734375j),0j
(0.5+1100.574462890625j),0j
(0.5+1101.839111328125j),0j
(0.5+1102.5517578125j),0j
(0.5+1103.7322998046875j),0j
(0.5+1105.6171875j),0j
(0.5+1106.7744140625j),0j
(0.5+1107.7745361328125j),0j
(0.5+1109.158935546875j),0j
(0.5+1110.444091796875j),0j
(0.5+1111.4434814453125j),0j
(0.5+1112.4329833984375j),0j
(0.5+1113.3975830078125j),0j
(0.5+1115.0653076171875j),0j
(0.5+1116.7872314453125j),0j
(0.5+1117.9659423828125j),0j
(0.5+1118.68408203125j),0j
(0.5+1119.4732666015625j),0j
(0.5+1121.1558837890625j),0j
(0.5+1122.4586181640625j),0j
(0.5+1123.10107421875j),0j
(0.5+1125.314697265625j),0j
(0.5+1125.763427734375j),0j
(0.5+1127.6580810546875j),0j
(0.5+1128.43017578125j),0j
(0.5+1129.72900390625j),0j
(0.5+1130.3916015625j),0j
(0.5+1131.4951171875j),0j
(0.5+1133.7086181640625j),0j
(0.5+1134.8856201171875j),0j
(0.5+1135.562255859375j),0j
(0.5+1136.9293212890625j),0j
(0.5+1138.151611328125j),0j
(0.5+1138.9923095703125j),0j
(0.5+1140.7218017578125j),0j
(0.5+1141.260986328125j),0j
(0.5+1142.858642578125j),0j
(0.5+1144.7823486328125j),0j
(0.5+1145.4853515625j),0j
(0.5+1146.5767822265625j),0j
(0.5+1147.5018310546875j),0j
(0.5+1148.615234375j),0j
(0.5+1149.9825439453125j),0j
(0.5+1151.5628662109375j),0j
(0.5+1152.943115234375j),0j
(0.5+1153.8902587890625j),0j
(0.5+1154.697509765625j),0j
(0.5+1156.62158203125j),0j
(0.5+1157.432373046875j),0j
(0.5+1158.0015869140625j),0j
(0.5+1159.480712890625j),0j
(0.5+1161.3966064453125j),0j
(0.5+1162.487548828125j),0j
(0.5+1163.7010498046875j),0j
(0.5+1164.737548828125j),0j
(0.5+1165.271240234375j),0j
(0.5+1166.943603515625j),0j
(0.5+1168.0863037109375j),0j
(0.5+1169.6983642578125j),0j
(0.5+1170.463623046875j),0j
(0.5+1172.1207275390625j),0j
(0.5+1173.3056640625j),0j
(0.5+1174.2327880859375j),0j
(0.5+1175.2154541015625j),0j
(0.5+1176.6329345703125j),0j
(0.5+1177.1063232421875j),0j
(0.5+1179.701171875j),0j
(0.5+1180.653564453125j),0j
(0.5+1181.267333984375j),0j
(0.5+1182.582275390625j),0j
(0.5+1183.7127685546875j),0j
(0.5+1185.1558837890625j),0j
(0.5+1185.8753662109375j),0j
(0.5+1187.34521484375j),0j
(0.5+1188.8564453125j),0j
(0.5+1189.963623046875j),0j
(0.5+1191.482666015625j),0j
(0.5+1192.2186279296875j),0j
(0.5+1193.323974609375j),0j
(0.5+1193.857421875j),0j
(0.5+1196.03466796875j),0j
(0.5+1197.07177734375j),0j
(0.5+1198.6865234375j),0j
(0.5+1199.3565673828125j),0j
(0.5+1200.53271484375j),0j
(0.5+1201.810302734375j),0j
(0.5+1203.1373291015625j),0j
(0.5+1203.855224609375j),0j
(0.5+1204.9854736328125j),0j
(0.5+1206.8704833984375j),0j
(0.5+1208.471435546875j),0j
(0.5+1208.989501953125j),0j
(0.5+1209.8980712890625j),0j
(0.5+1211.4161376953125j),0j
(0.5+1212.1131591796875j),0j
(0.5+1213.598388671875j),0j
(0.5+1215.3900146484375j),0j
